year,team,ORtg,DRtg,Pace,netRtg
2022,Gonzaga,120.9,88.5,73.8,32.4
2022,Houston,117.1,88.9,65.1,28.2
2022,Baylor,117.5,90.7,68.6,26.8
2022,Kansas,120.2,92.9,70.1,27.3
2022,Arizona,118.0,92.4,73.4,25.6
2022,Duke,120.4,94.4,68.7,26.0
2022,Texas Tech,109.1,85.5,67.4,23.6
2022,Kentucky,119.1,93.9,68.8,25.2
2022,Tennessee,110.1,86.9,68.3,23.2
2022,Villanova,117.1,93.0,63.6,24.1
2022,Auburn,112.7,89.6,71.0,23.1
2022,Purdue,122.6,97.5,66.8,25.1
2022,UCLA,115.1,91.6,66.8,23.5
2022,Iowa,121.0,97.8,70.8,23.2
2022,Texas,111.5,90.5,64.1,21.0
2022,Illinois,113.6,93.1,68.2,20.5
2022,Virginia Tech,114.7,94.9,64.1,19.8
2022,LSU,105.8,88.1,69.8,17.7
2022,Saint Mary's,107.8,90.1,64.8,17.7
2022,Indiana,108.0,90.5,68.2,17.5
2022,Arkansas,109.4,92.0,71.7,17.4
2022,Connecticut,112.6,94.8,66.2,17.8
2022,San Francisco,109.4,92.2,69.9,17.2
2022,Memphis,110.4,93.2,71.5,17.2
2022,Alabama,115.9,98.1,72.8,17.8
2022,Oklahoma,109.8,93.2,66.0,16.6
2022,Michigan,113.9,96.7,67.2,17.2
2022,North Carolina,112.8,95.9,71.2,16.9
2022,Wisconsin,110.1,93.8,67.5,16.3
2022,San Diego St.,101.4,86.4,66.2,15.0
2022,Ohio St.,116.3,99.5,66.2,16.8
2022,Wake Forest,111.3,95.3,71.0,16.0
2022,Boise St.,106.9,91.9,65.7,15.0
2022,Oklahoma St.,102.6,88.2,68.9,14.4
2022,Iowa St.,103.1,88.7,67.3,14.4
2022,Michigan St.,110.9,95.5,68.7,15.4
2022,Loyola Chicago,109.1,93.9,65.6,15.2
2022,TCU,107.4,92.9,66.9,14.5
2022,Murray St.,109.6,95.0,67.0,14.6
2022,Xavier,110.5,95.9,69.4,14.6
