year,team,ORtg,DRtg,Pace,netRtg
2025,Houston,124.3,87.6,62.1,36.7
2025,Duke,127.2,90.9,66.5,36.3
2025,Auburn,129.5,93.3,68.6,36.2
2025,Florida,126.8,94.2,70.3,32.6
2025,Alabama,127.2,96.3,75.4,30.9
2025,Tennessee,118.7,90.5,64.6,28.2
2025,Texas Tech,125.6,96.9,66.3,28.7
2025,Iowa St.,119.2,92.6,69.3,26.6
2025,Maryland,118.4,92.1,70.6,26.3
2025,Arizona,123.1,96.3,70.6,26.8
2025,Gonzaga,123.3,96.8,70.9,26.5
2025,Michigan St.,117.2,92.2,68.6,25.0
2025,Wisconsin,122.6,96.7,68.3,25.9
2025,Illinois,122.0,96.8,72.1,25.2
2025,Purdue,124.9,99.3,65.8,25.6
2025,Kentucky,123.9,98.8,71.6,25.1
2025,St. John's,112.5,89.7,70.9,22.8
2025,Kansas,115.9,92.5,69.0,23.4
2025,BYU,124.1,99.0,67.9,25.1
2025,Missouri,125.8,100.9,68.9,24.9
2025,UCLA,117.2,94.6,65.8,22.6
2025,Michigan,116.5,94.2,70.3,22.3
2025,Louisville,117.8,95.3,69.6,22.5
2025,Texas A&M,115.4,93.6,66.9,21.8
2025,Saint Mary's,115.0,93.4,62.5,21.6
2025,Clemson,117.7,95.7,65.0,22.0
2025,Marquette,116.7,96.1,68.5,20.6
2025,Baylor,120.6,99.3,65.4,21.3
2025,Mississippi,117.0,96.5,68.8,20.5
2025,Mississippi St.,118.4,98.6,68.7,19.8
2025,Georgia,115.3,96.0,67.2,19.3
2025,West Virginia,110.3,92.2,64.9,18.1
2025,VCU,114.9,96.1,66.9,18.8
2025,Oregon,115.5,96.9,68.5,18.6
2025,Creighton,116.6,98.3,67.9,18.3
2025,Connecticut,121.0,102.2,64.6,18.8
2025,North Carolina,118.0,100.0,71.3,18.0
2025,Ohio St.,116.8,99.0,67.8,17.8
2025,Xavier,115.5,98.4,69.8,17.1
2025,New Mexico,112.0,95.6,73.8,16.4
2025,Cincinnati,111.0,94.8,66.0,16.2
2025,Vanderbilt,118.1,101.0,70.3,17.1
2025,Texas,116.6,99.8,68.1,16.8
2025,Arkansas,111.4,95.7,70.0,15.7
2025,Colorado St.,114.9,99.0,66.8,15.9
2025,Oklahoma,117.5,101.3,69.2,16.2
2025,Utah St.,121.4,104.7,68.4,16.7
2025,Boise St.,115.5,99.6,66.1,15.9
2025,SMU,116.6,100.9,69.6,15.7
2025,San Diego St.,108.8,94.1,66.6,14.7
2025,Indiana,112.8,97.7,68.7,15.1
2025,Northwestern,112.9,97.9,65.7,15.0
2025,Villanova,119.2,103.6,63.9,15.6
2025,Santa Clara,115.5,100.4,69.7,15.1
2025,UC San Diego,112.3,97.8,66.5,14.5
2025,Drake,112.7,98.3,59.4,14.4
2025,Liberty,112.5,98.3,66.1,14.2
2025,McNeese St.,113.8,99.6,66.0,14.2
2025,USC,116.4,102.0,69.0,14.4
2025,Nebraska,112.1,98.2,68.3,13.9
2025,Memphis,112.3,98.8,71.4,13.5
2025,Penn St.,114.2,100.6,70.9,13.6
2025,Kansas St.,109.8,97.2,67.7,12.6
2025,San Francisco,111.0,98.2,68.5,12.8
2025,Iowa,119.5,106.0,70.5,13.5
2025,Arizona St.,112.4,100.0,69.1,12.4
2025,Pittsburgh,114.7,102.3,67.2,12.4
2025,Utah,112.0,100.3,69.5,11.7
2025,Rutgers,115.6,103.8,69.4,11.8
2025,North Texas,109.6,98.5,61.1,11.1
2025,TCU,106.2,95.6,67.2,10.6
2025,UCF,114.8,103.4,72.4,11.4
2025,George Mason,105.3,95.1,65.4,10.2
2025,Wake Forest,107.1,97.0,67.9,10.1
2025,South Carolina,109.5,99.4,66.1,10.1
2025,Stanford,112.6,102.3,66.8,10.3
2025,Dayton,115.0,104.6,66.5,10.4
2025,Yale,114.1,103.8,68.0,10.3
2025,Butler,115.3,105.0,68.1,10.3
2025,UC Irvine,105.5,96.4,69.4,9.1
2025,LSU,108.5,99.4,68.8,9.1
2025,Colorado,108.3,99.2,68.3,9.1
2025,Saint Joseph's,110.0,101.0,68.7,9.0
2025,Oregon St.,115.5,106.6,64.5,8.9
2025,Minnesota,109.7,101.3,63.4,8.4
2025,Grand Canyon,107.9,99.7,72.2,8.2
2025,Nevada,112.1,103.7,64.6,8.4
2025,St. Bonaventure,106.9,98.9,65.0,8.0
2025,High Point,117.5,108.8,67.2,8.7
2025,Florida St.,108.2,100.2,70.4,8.0
2025,Bradley,111.7,103.5,66.4,8.2
2025,Georgetown,106.7,99.4,68.9,7.3
2025,Arkansas St.,109.4,101.9,70.3,7.5
2025,Oklahoma St.,107.5,100.2,72.0,7.3
2025,UNLV,107.4,100.3,66.5,7.1
2025,Washington St.,112.8,105.4,71.4,7.4
2025,Notre Dame,111.1,104.0,65.4,7.1
2025,Lipscomb,110.0,103.1,66.9,6.9
2025,Akron,113.4,106.3,71.9,7.1
2025,Georgia Tech,106.9,100.4,69.4,6.5
2025,Troy,106.6,100.5,66.9,6.1
2025,Virginia,110.1,103.8,61.7,6.3
2025,UAB,116.6,110.2,69.8,6.4
2025,Providence,110.6,104.6,66.9,6.0
2025,Northern Iowa,109.5,104.1,65.7,5.4
2025,Washington,108.9,103.5,68.4,5.4
2025,St. Thomas,114.3,108.7,68.6,5.6
2025,North Dakota St.,116.3,110.7,65.8,5.6
2025,N.C. State,107.9,102.7,65.9,5.2
2025,DePaul,109.4,104.2,67.8,5.2
2025,Loyola Chicago,107.1,102.1,67.6,5.0
2025,New Mexico St.,104.9,100.1,65.5,4.8
2025,Florida Atlantic,112.1,107.1,69.7,5.0
2025,Middle Tennessee,108.7,103.9,69.0,4.8
2025,UNC Wilmington,111.8,107.0,65.9,4.8
2025,Saint Louis,108.6,104.1,67.9,4.5
2025,Syracuse,110.0,105.6,68.9,4.4
2025,Utah Valley,106.1,102.0,68.7,4.1
2025,George Washington,107.1,103.1,67.6,4.0
2025,South Dakota St.,110.1,106.0,69.8,4.1
2025,Northern Colorado,111.6,107.4,69.4,4.2
2025,North Alabama,111.0,107.0,67.2,4.0
2025,Illinois St.,112.8,108.7,66.3,4.1
2025,California,110.2,106.4,68.2,3.8
2025,Kent St.,104.6,100.9,66.5,3.7
2025,South Alabama,106.4,102.9,63.8,3.5
2025,Cornell,114.5,110.9,71.4,3.6
2025,Samford,111.2,107.8,71.6,3.4
2025,Belmont,112.1,108.8,71.3,3.3
2025,Kennesaw St.,106.6,103.8,70.8,2.8
2025,Duquesne,105.8,103.1,65.8,2.7
2025,Davidson,109.9,107.2,66.4,2.7
2025,UTEP,106.2,103.7,69.2,2.5
2025,Louisiana Tech,107.9,105.4,65.1,2.5
2025,Cal St. Northridge,106.8,104.4,72.9,2.4
2025,Jacksonville St.,108.3,106.0,65.4,2.3
2025,Chattanooga,113.4,111.1,67.3,2.3
2025,Texas A&M Corpus Chris,107.1,105.0,68.2,2.1
2025,Nebraska Omaha,111.1,109.0,68.5,2.1
2025,Wichita St.,106.2,104.2,69.4,2.0
2025,Tulane,107.7,105.7,67.4,2.0
2025,Furman,108.9,107.0,66.6,1.9
2025,Seattle,103.8,102.1,66.7,1.7
2025,Montana,110.8,109.2,67.8,1.6
2025,Wofford,111.1,109.6,64.7,1.5
2025,Miami OH,108.1,106.7,69.6,1.4
2025,Virginia Tech,106.6,105.3,65.8,1.3
2025,Loyola Marymount,103.9,102.8,67.8,1.1
2025,Milwaukee,106.4,105.7,69.4,0.7
2025,Western Kentucky,103.1,102.5,72.5,0.6
2025,Murray St.,105.5,104.8,65.4,0.7
2025,James Madison,110.0,109.4,65.7,0.6
2025,Appalachian St.,101.1,100.6,63.9,0.5
2025,UC Santa Barbara,108.0,107.6,66.0,0.4
2025,Bryant,106.0,105.5,73.1,0.5
2025,Nicholls St.,106.1,105.6,68.8,0.5
2025,Charleston,105.2,104.8,71.0,0.4
2025,San Jose St.,107.2,106.8,67.0,0.4
2025,Rhode Island,107.2,106.8,71.1,0.4
2025,Temple,109.9,109.6,69.5,0.3
2025,Purdue Fort Wayne,109.1,108.8,70.3,0.3
2025,Robert Morris,105.0,104.8,68.7,0.2
2025,Lamar,102.2,102.1,66.0,0.1
2025,Cal Baptist,105.8,105.7,66.5,0.1
2025,UC Riverside,108.8,108.8,67.8,0.0
2025,Radford,109.4,109.4,63.7,0.0
2025,Sam Houston St.,110.7,110.9,68.5,-0.2
2025,UNC Greensboro,105.3,106.0,64.4,-0.7
2025,Illinois Chicago,106.9,107.7,69.8,-0.8
2025,East Tennessee St.,105.1,105.9,65.8,-0.8
2025,Cleveland St.,102.6,103.5,66.2,-0.9
2025,Marshall,105.2,106.2,69.4,-1.0
2025,Ohio,106.7,107.8,71.0,-1.1
