year,team,ORtg,DRtg,Pace,netRtg
2010,Kansas,120.0,88.6,68.4,31.4
2010,Duke,119.1,88.0,67.2,31.1
2010,Syracuse,116.7,89.8,71.5,26.9
2010,Wisconsin,114.9,89.1,60.4,25.8
2010,Kansas St.,115.5,90.1,71.0,25.4
2010,Kentucky,114.0,89.1,69.5,24.9
2010,Ohio St.,116.2,91.5,66.1,24.7
2010,West Virginia,116.7,92.4,63.7,24.3
2010,Purdue,109.8,87.3,67.5,22.5
2010,BYU,116.4,92.5,72.0,23.9
2010,Villanova,118.0,95.1,72.7,22.9
2010,Baylor,117.9,95.2,65.7,22.7
2010,Georgetown,115.1,92.9,66.6,22.2
2010,California,119.5,96.7,68.7,22.8
2010,Texas,113.2,91.9,72.9,21.3
2010,Maryland,115.8,94.3,70.4,21.5
2010,Missouri,110.5,90.2,70.9,20.3
2010,Clemson,109.5,89.4,69.5,20.1
2010,Temple,106.2,86.7,61.6,19.5
2010,Minnesota,112.8,93.0,67.4,19.8
2010,Marquette,113.9,94.0,64.2,19.9
2010,Utah St.,115.2,95.0,61.8,20.2
2010,Texas A&M,111.1,91.7,66.1,19.4
2010,Michigan St.,111.6,92.1,67.5,19.5
2010,Xavier,114.3,94.7,70.3,19.6
2010,Florida St.,103.8,85.9,67.3,17.9
2010,Butler,109.2,90.6,65.1,18.6
2010,Georgia Tech,109.0,90.6,69.8,18.4
2010,Oklahoma St.,112.3,93.4,67.9,18.9
2010,UTEP,107.0,89.5,69.3,17.5
2010,Arizona St.,110.6,92.5,62.3,18.1
2010,Northern Iowa,107.0,89.5,60.3,17.5
2010,Washington,111.3,93.3,73.3,18.0
2010,Pittsburgh,110.0,92.3,62.0,17.7
2010,Old Dominion,106.6,89.5,63.8,17.1
2010,Tennessee,106.7,89.5,69.6,17.2
2010,Mississippi St.,108.8,91.3,67.8,17.5
2010,Vanderbilt,113.3,95.2,69.8,18.1
2010,Notre Dame,119.6,100.6,64.9,19.0
2010,UNLV,109.2,91.9,67.8,17.3
2010,New Mexico,114.4,96.5,68.7,17.9
2010,Saint Mary's,115.2,97.3,68.2,17.9
2010,Gonzaga,111.2,93.9,69.5,17.3
2010,Louisville,114.5,97.2,67.4,17.3
2010,Virginia Tech,106.7,91.2,68.4,15.5
2010,Wake Forest,106.3,91.2,70.4,15.1
2010,Mississippi,112.3,96.4,69.9,15.9
2010,Memphis,112.8,97.0,66.7,15.8
2010,San Diego St.,109.9,94.6,64.4,15.3
2010,Dayton,104.8,90.4,66.3,14.4
2010,Richmond,106.5,91.9,63.9,14.6
2010,Florida,111.7,96.4,65.7,15.3
2010,Illinois,107.7,93.3,67.9,14.4
2010,Connecticut,106.5,92.3,69.1,14.2
2010,VCU,111.7,97.2,69.1,14.5
2010,Seton Hall,112.6,98.0,71.3,14.6
2010,Wichita St.,108.3,94.5,65.8,13.8
2010,St. John's,105.5,92.4,65.9,13.1
2010,USC,97.2,85.2,63.0,12.0
2010,Alabama,107.6,94.4,65.3,13.2
2010,Miami FL,111.2,97.7,66.2,13.5
2010,Cincinnati,105.6,93.1,66.3,12.5
2010,Siena,108.2,95.7,70.6,12.5
2010,Cornell,114.0,100.9,65.9,13.1
2010,Rhode Island,112.4,99.7,68.4,12.7
2010,N.C. State,106.2,94.4,65.4,11.8
2010,Boston College,110.5,98.3,65.7,12.2
2010,UAB,103.7,92.4,65.7,11.3
2010,Wright St.,107.3,95.6,63.3,11.7
2010,Murray St.,106.2,94.6,67.4,11.6
2010,South Florida,106.5,94.9,65.3,11.6
2010,Iowa St.,106.6,95.1,69.1,11.5
2010,Marshall,109.2,97.5,69.8,11.7
2010,North Carolina,106.2,94.9,72.0,11.3
2010,Michigan,105.6,95.1,63.1,10.5
2010,Tulsa,106.7,96.2,67.0,10.5
2010,Missouri St.,110.2,99.5,65.9,10.7
2010,Texas Tech,107.3,97.0,72.4,10.3
2010,Nevada,112.6,101.9,69.6,10.7
2010,Northwestern,112.5,102.1,63.8,10.4
2010,Northeastern,104.6,94.9,61.8,9.7
2010,Colorado,112.6,102.2,68.4,10.4
2010,Virginia,106.0,96.3,63.0,9.7
2010,Georgia,109.3,99.7,65.2,9.6
2010,Providence,115.1,105.1,74.4,10.0
2010,South Carolina,105.1,96.0,70.1,9.1
2010,Wofford,103.7,94.7,64.6,9.0
2010,Houston,111.2,101.7,72.8,9.5
2010,Arizona,106.9,98.0,69.0,8.9
2010,Portland,108.2,99.3,64.5,8.9
2010,Nebraska,105.3,96.9,64.3,8.4
2010,Oklahoma,110.0,101.7,66.7,8.3
2010,Illinois St.,106.4,98.4,65.9,8.0
2010,Kent St.,104.2,96.4,68.5,7.8
2010,Auburn,108.7,100.7,70.7,8.0
2010,Saint Louis,98.1,91.3,63.3,6.8
2010,Sam Houston St.,110.2,102.7,70.0,7.5
2010,Stanford,105.6,98.4,67.9,7.2
2010,Charlotte,107.3,100.1,68.4,7.2
2010,Southern Miss,102.2,95.5,62.3,6.7
2010,Penn St.,106.5,99.5,63.7,7.0
2010,Washington St.,108.1,101.1,67.6,7.0
2010,Pacific,103.8,97.3,61.1,6.5
2010,Creighton,106.9,100.4,67.1,6.5
2010,Louisiana Tech,105.2,98.9,68.9,6.3
2010,Akron,104.2,98.1,66.4,6.1
2010,Iona,99.3,93.5,66.0,5.8
2010,Harvard,105.2,99.0,68.6,6.2
2010,Bradley,105.4,99.3,66.2,6.1
2010,UCLA,105.5,99.5,65.3,6.0
2010,George Washington,102.0,96.4,68.5,5.6
2010,IU Indy,107.6,101.7,66.1,5.9
2010,Arkansas,105.0,99.4,71.3,5.6
2010,Morehead St.,102.9,97.5,65.7,5.4
2010,Ohio,103.7,98.2,70.1,5.5
2010,Oregon,105.2,99.8,67.5,5.4
2010,William & Mary,108.5,103.0,61.3,5.5
2010,Hofstra,100.9,95.8,70.2,5.1
2010,Southern Illinois,104.9,99.8,67.6,5.1
2010,Fairfield,104.7,99.9,66.5,4.8
2010,Oregon St.,98.2,93.8,62.2,4.4
2010,Utah,101.0,96.6,66.6,4.4
2010,Belmont,102.2,98.0,70.0,4.2
2010,Milwaukee,104.6,100.3,67.4,4.3
2010,Montana,103.8,99.8,63.2,4.0
2010,Niagara,104.2,100.1,69.7,4.1
2010,Weber St.,107.2,103.1,68.6,4.1
2010,St. Bonaventure,104.8,100.8,68.0,4.0
2010,Green Bay,106.0,102.1,65.0,3.9
2010,Duquesne,101.1,97.4,70.7,3.7
2010,Detroit Mercy,99.6,96.1,68.9,3.5
2010,Coastal Carolina,101.7,98.1,64.4,3.6
2010,New Mexico St.,109.0,105.3,72.0,3.7
2010,Northern Colorado,102.7,99.1,68.7,3.6
2010,Western Kentucky,104.8,101.3,65.7,3.5
2010,SMU,105.8,102.3,62.1,3.5
2010,Western Carolina,103.9,100.8,69.5,3.1
2010,Oakland,106.0,102.9,69.9,3.1
2010,Princeton,95.7,92.9,59.8,2.8
2010,UC Santa Barbara,99.3,96.6,67.6,2.7
2010,Indiana St.,103.1,100.3,65.5,2.8
2010,Drake,107.4,104.5,64.3,2.9
2010,Charleston,107.9,105.1,69.6,2.8
2010,Western Michigan,104.3,101.9,67.6,2.4
2010,Drexel,98.2,95.9,65.3,2.3
2010,Long Beach St.,100.2,97.8,70.5,2.4
2010,Cleveland St.,104.3,102.0,65.9,2.3
2010,Appalachian St.,106.7,104.5,66.7,2.2
2010,Colorado St.,99.6,97.5,67.3,2.1
2010,TCU,105.4,103.2,64.5,2.2
2010,Stephen F. Austin,101.2,99.2,60.5,2.0
2010,Boston University,100.3,98.4,70.6,1.9
2010,Vermont,101.3,99.3,68.2,2.0
2010,Idaho,103.6,101.9,66.5,1.7
2010,Oral Roberts,100.1,98.5,66.9,1.6
2010,La Salle,104.6,102.9,68.8,1.7
2010,George Mason,100.8,99.3,65.7,1.5
2010,East Tennessee St.,98.1,97.0,68.3,1.1
2010,Indiana,101.3,100.3,69.0,1.0
2010,Rutgers,102.1,101.1,68.4,1.0
2010,Miami OH,101.9,101.1,61.1,0.8
2010,Campbell,99.8,99.1,65.0,0.7
2010,Loyola Marymount,107.0,106.2,70.2,0.8
2010,Boise St.,100.4,99.9,71.4,0.5
2010,Morgan St.,104.1,103.7,70.0,0.4
2010,DePaul,99.3,99.0,62.9,0.3
2010,Eastern Kentucky,108.2,107.8,62.8,0.4
2010,UCF,101.2,100.9,65.1,0.3
2010,Middle Tennessee,99.1,98.9,65.9,0.2
2010,Fresno St.,98.9,98.7,66.4,0.2
2010,Buffalo,104.7,104.6,69.5,0.1
2010,LSU,98.7,98.6,63.2,0.1
2010,UTSA,103.9,104.0,63.9,-0.1
2010,Stony Brook,100.2,100.6,66.8,-0.4
2010,Saint Joseph's,100.5,100.9,70.6,-0.4
2010,Saint Peter's,91.7,92.1,65.0,-0.4
2010,Denver,106.1,106.7,59.9,-0.6
2010,Central Michigan,100.4,101.1,64.6,-0.7
2010,Jacksonville,99.5,100.4,69.2,-0.9
2010,Iowa,101.0,101.9,62.9,-0.9
2010,Texas A&M Corpus Chris,98.3,99.3,66.0,-1.0
2010,Davidson,102.1,103.2,67.0,-1.1
2010,San Diego,98.5,99.5,63.9,-1.0
2010,Troy,103.8,104.9,67.1,-1.1
2010,Valparaiso,108.8,110.0,68.6,-1.2
2010,Manhattan,98.0,99.3,67.6,-1.3
2010,Massachusetts,100.9,102.3,69.9,-1.4
2010,North Texas,101.6,103.1,68.7,-1.5
2010,San Jose St.,108.4,110.2,66.9,-1.8
2010,Seattle,98.4,100.3,79.9,-1.9
2010,Quinnipiac,101.8,103.9,69.0,-2.1
2010,The Citadel,99.9,102.0,60.3,-2.1
2010,Lehigh,103.1,105.3,70.6,-2.2
2010,Mount St. Mary's,95.2,97.2,67.0,-2.0
2010,Arkansas St.,98.5,100.7,67.4,-2.2
2010,Lipscomb,107.4,109.9,70.5,-2.5
2010,Robert Morris,98.9,101.5,67.4,-2.6
2010,Rider,100.7,103.5,68.8,-2.8
2010,Bowling Green,99.4,102.2,64.3,-2.8
2010,Loyola Chicago,100.7,103.7,64.6,-3.0
2010,Southeastern Louisiana,100.5,103.5,67.3,-3.0
2010,Austin Peay,102.9,106.3,67.2,-3.4
2010,Eastern Michigan,97.9,101.1,66.9,-3.2
2010,Canisius,99.2,102.5,66.7,-3.3
2010,San Francisco,99.7,103.1,67.1,-3.4
2010,South Dakota St.,104.4,108.3,68.4,-3.9
2010,Mercer,106.0,109.9,70.0,-3.9
2010,Loyola MD,98.4,102.1,66.5,-3.7
2010,Montana St.,100.9,104.9,64.8,-4.0
2010,Georgia St.,97.8,101.9,62.9,-4.1
2010,Tulane,95.1,99.1,66.3,-4.0
2010,Evansville,97.2,101.3,66.7,-4.1
2010,Florida Atlantic,101.5,106.1,69.4,-4.6
2010,UNC Wilmington,97.1,101.6,69.4,-4.5
2010,Louisiana,98.5,103.2,67.1,-4.7
2010,Eastern Illinois,98.3,103.1,64.5,-4.8
2010,Portland St.,109.8,115.3,67.5,-5.5
2010,Radford,93.9,98.7,69.3,-4.8
2010,James Madison,98.8,104.0,68.1,-5.2
2010,East Carolina,101.0,106.4,68.7,-5.4
2010,Cal St. Fullerton,100.2,105.6,69.3,-5.4
2010,Ball St.,92.8,98.0,63.0,-5.2
2010,Texas St.,97.6,103.2,76.2,-5.6
2010,Rice,95.5,101.3,67.2,-5.8
2010,Maine,92.4,98.0,66.0,-5.6
2010,Wyoming,96.9,102.8,71.6,-5.9
2010,Winthrop,89.5,95.0,65.5,-5.5
2010,Samford,100.8,107.0,57.4,-6.2
2010,Youngstown St.,98.2,104.4,68.4,-6.2
2010,Northern Illinois,96.9,103.1,71.2,-6.2
2010,Lafayette,103.4,110.0,68.1,-6.6
2010,Air Force,97.5,103.7,58.4,-6.2
2010,Northern Arizona,97.4,103.7,67.8,-6.3
2010,Purdue Fort Wayne,96.2,102.5,67.2,-6.3
2010,Holy Cross,101.1,107.8,66.7,-6.7
2010,Santa Clara,96.5,103.0,67.6,-6.5
2010,Hawaii,99.6,106.4,66.1,-6.8
2010,Cal St. Northridge,96.1,102.8,72.1,-6.7
2010,Hampton,92.9,99.6,67.7,-6.7
2010,Chattanooga,95.8,102.8,70.5,-7.0
2010,UC Davis,98.6,105.7,68.2,-7.1
2010,Army,89.3,95.8,64.6,-6.5
2010,Illinois Chicago,95.0,102.1,68.8,-7.1
2010,UC Riverside,96.1,103.4,62.6,-7.3
2010,Bucknell,97.1,104.4,65.7,-7.3
2010,Furman,96.8,104.1,68.8,-7.3
2010,Arkansas Pine Bluff,91.4,98.4,67.3,-7.0
2010,Towson,102.0,109.8,68.9,-7.8
2010,South Alabama,95.6,103.1,66.7,-7.5
2010,UNC Greensboro,95.8,103.3,68.2,-7.5
2010,Tennessee Tech,103.6,112.0,68.3,-8.4
2010,South Dakota,97.2,105.7,73.9,-8.5
2010,North Dakota St.,95.3,104.0,68.7,-8.7
2010,Cal Poly,101.1,110.4,67.6,-9.3
2010,UC Irvine,99.2,108.5,64.7,-9.3
2010,UT Arlington,94.6,103.5,72.0,-8.9
2010,Western Illinois,91.1,99.8,62.0,-8.7
2010,Nicholls St.,98.2,107.7,63.6,-9.5
2010,Jackson St.,92.7,101.8,65.9,-9.1
2010,Tennessee St.,96.3,105.8,68.5,-9.5
2010,Yale,95.5,105.3,67.6,-9.8
