year,team,ORtg,DRtg,Pace,netRtg
2017,Gonzaga,119.8,88.0,71.8,31.8
2017,Villanova,122.2,92.2,65.8,30.0
2017,Virginia,114.1,86.7,60.3,27.4
2017,Kentucky,119.2,91.5,74.6,27.7
2017,North Carolina,121.0,93.1,72.7,27.9
2017,Florida,115.7,89.3,70.4,26.4
2017,Louisville,116.2,89.7,69.7,26.5
2017,West Virginia,116.1,89.8,72.5,26.3
2017,Duke,121.1,94.9,69.6,26.2
2017,Kansas,120.4,94.4,71.6,26.0
2017,SMU,118.8,93.7,65.0,25.1
2017,Wichita St.,116.9,92.8,70.5,24.1
2017,Purdue,116.1,92.3,70.5,23.8
2017,Saint Mary's,118.3,94.2,60.8,24.1
2017,Baylor,116.0,92.5,64.8,23.5
2017,Cincinnati,113.6,91.2,65.7,22.4
2017,Michigan,121.6,97.9,64.0,23.7
2017,Wisconsin,113.5,91.5,64.5,22.0
2017,Notre Dame,119.5,96.4,68.5,23.1
2017,Oregon,116.0,93.7,68.5,22.3
2017,Iowa St.,118.1,95.6,69.6,22.5
2017,Oklahoma St.,125.1,101.4,73.0,23.7
2017,Arizona,116.3,94.3,67.0,22.0
2017,Florida St.,116.0,94.3,72.6,21.7
2017,UCLA,121.7,99.2,75.4,22.5
2017,Creighton,115.6,95.3,72.6,20.3
2017,Butler,117.5,97.0,67.0,20.5
2017,Miami FL,110.7,92.3,64.7,18.4
2017,Kansas St.,111.5,93.3,67.3,18.2
2017,Marquette,121.4,101.6,71.5,19.8
2017,Wake Forest,121.4,101.8,72.0,19.6
2017,South Carolina,105.2,88.3,69.6,16.9
2017,Vanderbilt,112.8,95.2,67.0,17.6
2017,Minnesota,108.3,91.8,70.9,16.5
2017,Xavier,114.5,97.3,68.7,17.2
2017,Northwestern,111.1,94.7,66.7,16.4
2017,Clemson,115.6,98.6,67.8,17.0
2017,Indiana,116.2,99.6,69.7,16.6
2017,Illinois St.,106.4,91.2,66.2,15.2
2017,Maryland,113.0,97.3,68.6,15.7
2017,Rhode Island,110.2,94.9,67.8,15.3
2017,Houston,113.6,97.9,66.5,15.7
2017,Michigan St.,109.7,94.6,68.2,15.1
2017,Syracuse,115.3,99.7,68.0,15.6
2017,Virginia Tech,116.5,101.4,70.1,15.1
2017,Texas Tech,111.6,97.2,65.2,14.4
2017,Middle Tennessee,110.4,96.3,65.7,14.1
2017,TCU,111.9,97.7,68.2,14.2
2017,Dayton,110.5,96.5,69.8,14.0
2017,Utah,112.9,98.8,69.7,14.1
2017,Arkansas,115.4,101.1,70.9,14.3
2017,Tennessee,110.2,96.7,70.8,13.5
2017,Georgia,107.7,94.7,68.6,13.0
2017,Providence,107.4,94.5,67.9,12.9
2017,Alabama,104.2,91.9,66.6,12.3
2017,Seton Hall,108.6,95.8,68.8,12.8
2017,California,103.9,91.7,66.9,12.2
2017,Texas A&M,108.4,96.2,65.8,12.2
2017,VCU,107.9,95.8,69.8,12.1
2017,Nevada,113.5,101.1,71.1,12.4
2017,Oklahoma,106.7,95.2,71.5,11.5
2017,UNC Wilmington,117.1,104.6,71.4,12.5
2017,Princeton,108.1,96.6,64.3,11.5
2017,Ohio St.,110.8,99.1,69.4,11.7
2017,UCF,102.5,91.7,67.0,10.8
2017,USC,111.2,99.6,70.5,11.6
2017,Georgetown,107.6,96.5,70.3,11.1
2017,Pittsburgh,113.0,101.6,67.0,11.4
2017,Vermont,109.5,98.6,65.9,10.9
2017,Iowa,111.4,100.6,72.9,10.8
2017,East Tennessee St.,106.9,96.8,71.6,10.1
2017,San Diego St.,103.8,93.9,66.1,9.9
2017,Texas,103.2,93.6,69.0,9.6
2017,BYU,108.3,98.3,77.3,10.0
2017,Davidson,108.8,98.9,69.7,9.9
2017,Auburn,111.3,101.8,75.2,9.5
2017,Mississippi,109.1,99.9,72.8,9.2
2017,Illinois,105.9,97.1,67.8,8.8
2017,Colorado,110.1,101.2,69.4,8.9
2017,San Francisco,104.1,95.7,70.3,8.4
2017,Bucknell,107.5,99.5,71.3,8.0
2017,Boise St.,109.5,101.3,70.6,8.2
2017,Colorado St.,107.4,99.4,67.5,8.0
2017,UT Arlington,108.3,100.3,71.5,8.0
2017,Louisiana Tech,106.4,99.2,70.0,7.2
2017,New Mexico St.,109.0,101.8,68.9,7.2
2017,Monmouth,106.4,99.4,73.8,7.0
2017,Nebraska,104.9,98.1,69.5,6.8
2017,Georgia Tech,97.9,91.6,69.2,6.3
2017,Connecticut,104.4,97.8,66.1,6.6
2017,Penn St.,102.9,96.4,72.1,6.5
2017,Richmond,108.0,101.1,70.4,6.9
2017,Memphis,106.3,99.7,70.1,6.6
2017,Ohio,105.2,98.6,71.6,6.6
2017,Loyola Chicago,108.1,101.3,67.1,6.8
2017,St. Bonaventure,108.1,101.4,70.0,6.7
2017,N.C. State,111.8,104.9,71.9,6.9
2017,Fresno St.,104.3,98.0,69.7,6.3
2017,Valparaiso,105.4,99.1,68.6,6.3
2017,Cal St. Bakersfield,98.2,92.5,67.7,5.7
2017,Akron,112.0,105.7,67.0,6.3
2017,St. John's,108.1,102.2,74.6,5.9
2017,Stanford,102.9,97.3,69.9,5.6
2017,Mississippi St.,104.8,99.1,70.2,5.7
2017,Chattanooga,106.5,100.8,67.1,5.7
2017,Furman,106.4,100.8,67.1,5.6
2017,Charleston,103.3,98.0,65.6,5.3
2017,Temple,107.7,102.2,68.7,5.5
2017,Belmont,108.3,103.1,69.6,5.2
2017,New Mexico,106.0,101.1,70.4,4.9
2017,Missouri St.,108.8,104.0,67.4,4.8
2017,Saint Peter's,101.5,97.2,62.4,4.3
2017,Florida Gulf Coast,108.5,103.9,66.8,4.6
2017,Oakland,102.5,98.2,73.6,4.3
2017,Harvard,105.4,101.3,68.1,4.1
2017,UNC Asheville,105.4,101.3,69.5,4.1
2017,UC Irvine,101.3,97.5,67.9,3.8
2017,Old Dominion,99.2,95.6,62.5,3.6
2017,Toledo,108.5,104.7,68.2,3.8
2017,Winthrop,105.4,101.8,72.3,3.6
2017,Georgia St.,103.9,100.2,69.4,3.7
2017,Lehigh,106.5,102.9,71.1,3.6
2017,Towson,104.0,100.6,69.4,3.4
2017,Evansville,104.5,101.1,68.0,3.4
2017,George Mason,107.0,103.5,69.8,3.5
2017,Iona,108.7,105.3,71.8,3.4
2017,Arkansas St.,105.2,102.0,68.7,3.2
2017,Arizona St.,111.0,107.6,71.7,3.4
2017,George Washington,107.0,103.9,67.0,3.1
2017,Albany,107.2,104.1,65.6,3.1
2017,La Salle,110.6,107.6,69.9,3.0
2017,Santa Clara,104.8,102.0,64.2,2.8
2017,Rutgers,100.3,97.8,67.9,2.5
2017,UNC Greensboro,106.1,103.9,68.1,2.2
2017,William & Mary,110.7,108.5,72.0,2.2
2017,Boston College,103.5,101.6,72.5,1.9
2017,Wyoming,102.9,101.0,75.1,1.9
2017,Utah St.,105.5,103.6,68.1,1.9
2017,Samford,107.3,105.5,70.0,1.8
2017,Tulsa,103.4,101.7,69.6,1.7
2017,Purdue Fort Wayne,108.1,106.3,72.9,1.8
2017,Troy,108.8,107.0,69.4,1.8
2017,Grand Canyon,100.5,98.9,70.4,1.6
2017,Tennessee St.,99.5,98.1,68.5,1.4
2017,Elon,103.3,101.8,69.1,1.5
2017,Kent St.,103.8,102.5,69.7,1.3
2017,Mercer,108.1,106.7,63.0,1.4
2017,Eastern Michigan,105.3,104.0,69.6,1.3
2017,Northern Kentucky,105.6,104.3,69.3,1.3
2017,Louisiana,109.9,108.6,73.7,1.3
2017,Yale,105.5,104.2,69.2,1.3
2017,Wofford,108.7,107.4,68.0,1.3
2017,Marshall,110.0,108.8,79.0,1.2
2017,North Carolina Central,101.7,100.8,67.9,0.9
2017,Washington,106.9,105.9,72.7,1.0
2017,Missouri,100.2,99.4,69.7,0.8
2017,Buffalo,102.9,102.1,72.4,0.8
2017,Massachusetts,99.4,98.7,73.6,0.7
2017,Northeastern,105.9,105.5,67.7,0.4
2017,Saint Joseph's,102.3,102.0,70.0,0.3
2017,Texas St.,101.7,101.6,63.3,0.1
2017,Penn,101.6,101.6,68.1,0.0
2017,Rice,106.5,106.6,73.7,-0.1
2017,Lipscomb,106.1,106.5,75.7,-0.4
2017,Georgia Southern,105.7,106.2,69.9,-0.5
2017,North Dakota,102.1,102.6,72.4,-0.5
2017,Loyola Marymount,102.0,102.6,68.6,-0.6
2017,Washington St.,103.8,104.4,69.0,-0.6
2017,Ball St.,103.7,104.4,72.1,-0.7
2017,Western Michigan,105.5,106.2,69.3,-0.7
2017,Wright St.,104.5,105.3,70.5,-0.8
2017,South Dakota,101.7,102.4,72.2,-0.7
2017,Northern Iowa,96.2,96.9,64.8,-0.7
2017,DePaul,102.6,103.4,69.1,-0.8
2017,Siena,104.7,105.6,70.0,-0.9
2017,Jacksonville St.,104.0,104.8,65.2,-0.8
2017,UAB,103.2,104.1,67.8,-0.9
2017,Weber St.,107.1,108.2,67.7,-1.1
2017,LSU,107.9,109.0,73.4,-1.1
2017,Eastern Washington,108.1,109.1,68.0,-1.0
2017,East Carolina,95.5,96.6,68.3,-1.1
2017,Utah Valley,99.5,100.7,74.7,-1.2
2017,Southern Illinois,102.6,104.0,66.8,-1.4
2017,North Dakota St.,102.5,103.9,68.2,-1.4
2017,Nebraska Omaha,106.6,108.2,75.1,-1.6
2017,Boston University,101.4,103.0,71.1,-1.6
2017,New Hampshire,100.7,102.4,66.9,-1.7
2017,Montana,104.9,106.7,68.2,-1.8
2017,Gardner Webb,101.0,102.9,72.3,-1.9
2017,Fordham,96.8,98.6,65.8,-1.8
2017,New Orleans,99.1,101.0,67.8,-1.9
2017,Green Bay,100.5,102.5,75.4,-2.0
2017,Canisius,107.7,109.8,70.9,-2.1
2017,Indiana St.,98.7,100.9,71.1,-2.2
2017,Hofstra,109.7,112.3,69.1,-2.6
2017,UMBC,107.4,110.0,71.8,-2.6
2017,Morehead St.,105.9,108.7,69.8,-2.8
2017,Northern Illinois,98.3,100.9,68.1,-2.6
2017,South Dakota St.,108.6,111.7,68.6,-3.1
2017,Denver,105.7,108.8,68.1,-3.1
2017,UC Davis,97.9,101.0,70.2,-3.1
2017,Mount St. Mary's,98.3,101.5,68.4,-3.2
2017,Air Force,104.1,107.7,68.4,-3.6
2017,Eastern Illinois,99.7,103.2,70.1,-3.5
2017,Murray St.,105.7,109.5,70.1,-3.8
2017,Navy,98.8,102.3,65.5,-3.5
2017,Texas A&M Corpus Chris,101.7,105.4,69.2,-3.7
2017,Fairfield,98.4,102.0,70.6,-3.6
2017,IU Indy,105.6,109.4,70.9,-3.8
2017,Long Beach St.,104.3,108.1,71.1,-3.8
2017,UTEP,98.5,102.4,67.6,-3.9
2017,Coastal Carolina,100.9,104.9,69.4,-4.0
2017,San Jose St.,99.4,103.5,72.2,-4.1
2017,Tulane,102.8,107.1,72.1,-4.3
2017,Duquesne,101.1,105.6,71.7,-4.5
2017,Rider,99.4,103.9,73.5,-4.5
2017,Tennessee Martin,105.6,110.3,69.2,-4.7
2017,Holy Cross,97.9,102.4,61.6,-4.5
2017,UMKC,102.1,107.0,72.2,-4.9
2017,Stony Brook,100.9,105.8,67.2,-4.9
2017,Texas Southern,101.7,106.7,69.9,-5.0
2017,Liberty,98.3,103.1,64.4,-4.8
2017,Lamar,102.6,107.8,69.1,-5.2
2017,Western Kentucky,101.9,107.3,67.5,-5.4
2017,James Madison,97.9,103.0,65.4,-5.1
2017,Columbia,100.7,106.1,70.4,-5.4
2017,Houston Christian,103.2,108.8,71.5,-5.6
2017,Idaho,100.1,105.6,67.8,-5.5
2017,Charlotte,102.1,107.7,74.1,-5.6
2017,UNLV,97.9,103.8,70.1,-5.9
2017,Montana St.,102.2,108.4,70.9,-6.2
2017,Bowling Green,99.6,105.7,71.5,-6.1
2017,Oral Roberts,103.1,109.4,70.7,-6.3
2017,Sam Houston St.,96.6,102.5,71.6,-5.9
2017,Illinois Chicago,100.4,106.7,73.0,-6.3
2017,Drake,103.1,109.6,71.1,-6.5
2017,Central Michigan,110.3,117.3,76.3,-7.0
2017,Portland St.,103.6,110.6,73.6,-7.0
2017,Southeastern Louisiana,96.7,103.2,68.8,-6.5
2017,Bradley,96.2,102.7,69.0,-6.5
2017,Army,97.8,104.5,72.7,-6.7
