year,team,ORtg,DRtg,Pace,netRtg
2024,Houston,118.5,85.3,64.3,33.2
2024,Connecticut,126.8,94.1,65.6,32.7
2024,Purdue,126.1,94.3,68.6,31.8
2024,Auburn,120.5,92.1,70.8,28.4
2024,Arizona,121.6,93.3,73.1,28.3
2024,Iowa St.,113.4,87.5,68.5,25.9
2024,Tennessee,115.4,91.1,70.2,24.3
2024,North Carolina,117.8,93.3,71.4,24.5
2024,Marquette,118.7,94.3,70.1,24.4
2024,Creighton,120.4,96.3,67.9,24.1
2024,Duke,120.7,96.9,67.9,23.8
2024,Alabama,125.6,101.4,73.5,24.2
2024,Illinois,124.3,100.7,70.8,23.6
2024,Saint Mary's,115.1,93.4,63.1,21.7
2024,Gonzaga,120.6,98.3,70.1,22.3
2024,BYU,120.2,98.5,70.0,21.7
2024,Kansas,113.9,93.3,69.9,20.6
2024,Baylor,122.2,100.5,66.7,21.7
2024,Michigan St.,113.6,93.5,66.3,20.1
2024,St. John's,119.1,98.1,70.2,21.0
2024,Wisconsin,120.0,99.0,66.0,21.0
2024,Kentucky,122.5,101.9,73.5,20.6
2024,Florida,119.3,99.4,72.6,19.9
2024,Texas,118.1,98.4,68.2,19.7
2024,New Mexico,114.6,95.5,73.7,19.1
2024,Nebraska,115.9,96.9,69.6,19.0
2024,Colorado,117.4,98.2,68.7,19.2
2024,Mississippi St.,112.3,94.7,68.1,17.6
2024,Villanova,111.1,93.8,64.3,17.3
2024,San Diego St.,111.8,94.4,67.1,17.4
2024,Texas Tech,117.2,99.1,67.4,18.1
2024,Clemson,117.2,99.2,67.2,18.0
2024,Wake Forest,116.9,99.4,69.0,17.5
2024,Ohio St.,115.8,98.8,66.4,17.0
2024,Dayton,117.8,100.7,65.0,17.1
2024,Pittsburgh,115.2,98.6,66.8,16.6
2024,TCU,114.3,97.9,70.9,16.4
2024,Northwestern,116.3,99.7,64.7,16.6
2024,Utah,113.6,97.5,70.7,16.1
2024,Nevada,114.3,98.1,67.7,16.2
2024,Indiana St.,118.1,101.4,71.5,16.7
2024,Boise St.,113.5,97.7,67.6,15.8
2024,Washington St.,112.6,97.0,65.9,15.6
2024,Colorado St.,114.5,98.7,66.9,15.8
2024,Oklahoma,113.1,97.5,68.1,15.6
2024,Texas A&M,115.1,99.7,66.6,15.4
2024,Cincinnati,110.8,96.0,68.3,14.8
2024,South Carolina,114.4,99.2,64.0,15.2
2024,Florida Atlantic,117.6,102.5,68.9,15.1
2024,Virginia,105.1,91.7,61.0,13.4
2024,Butler,113.5,98.9,69.4,14.6
2024,Providence,108.4,94.5,68.8,13.9
2024,Drake,114.6,100.2,68.8,14.4
2024,Virginia Tech,115.4,101.0,68.5,14.4
2024,Iowa,118.7,104.0,72.6,14.7
2024,Xavier,112.0,98.2,71.9,13.8
2024,Seton Hall,112.1,98.4,67.0,13.7
2024,Utah St.,114.1,100.3,69.5,13.8
2024,Oregon,113.6,100.0,68.1,13.6
2024,Washington,114.4,101.2,72.1,13.2
2024,Bradley,111.9,99.1,67.2,12.8
2024,N.C. State,113.6,100.7,68.9,12.9
2024,SMU,110.9,98.4,68.4,12.5
2024,North Texas,109.5,97.4,62.3,12.1
2024,UCF,105.7,94.2,69.4,11.5
2024,Kansas St.,107.5,96.3,68.3,11.2
2024,Grand Canyon,111.5,99.9,69.0,11.6
2024,San Francisco,109.2,98.0,68.0,11.2
2024,Maryland,105.4,94.7,66.4,10.7
2024,James Madison,112.0,100.7,70.8,11.3
2024,Syracuse,110.9,99.7,71.7,11.2
2024,Mississippi,113.8,102.4,67.7,11.4
2024,USC,110.4,99.4,69.1,11.0
2024,Miami FL,111.5,100.6,69.7,10.9
2024,UNLV,111.8,101.0,65.9,10.8
2024,Richmond,107.1,96.9,67.7,10.2
2024,Georgia,109.2,98.9,69.4,10.3
2024,Boston College,112.7,102.1,68.1,10.6
2024,Minnesota,113.3,102.8,67.6,10.5
2024,Florida St.,109.9,99.8,71.9,10.1
2024,Penn St.,110.1,100.0,70.8,10.1
2024,Duquesne,106.9,97.2,67.2,9.7
2024,McNeese St.,111.7,101.7,66.3,10.0
2024,Princeton,115.5,105.2,65.8,10.3
2024,LSU,109.8,100.1,70.7,9.7
2024,Indiana,109.7,100.2,69.4,9.5
2024,Samford,112.2,102.6,73.6,9.6
2024,Yale,109.7,100.4,65.6,9.3
2024,VCU,108.2,99.0,66.2,9.2
2024,Louisiana Tech,107.9,98.8,66.6,9.1
2024,Memphis,111.6,102.3,72.6,9.3
2024,UC Irvine,107.8,98.9,69.4,8.9
2024,Loyola Chicago,104.5,96.1,69.6,8.4
2024,Saint Joseph's,110.6,101.7,69.3,8.9
2024,Massachusetts,111.2,102.5,69.3,8.7
2024,UCLA,106.7,98.5,64.0,8.2
2024,George Mason,108.8,100.7,64.8,8.1
2024,Appalachian St.,106.0,98.4,67.7,7.6
2024,South Florida,108.9,101.1,68.9,7.8
2024,St. Bonaventure,111.2,103.5,66.4,7.7
2024,Stanford,110.1,102.7,70.5,7.4
2024,Rutgers,98.2,91.7,68.8,6.5
2024,Charleston,112.9,105.5,71.0,7.4
2024,Charlotte,108.5,101.6,63.4,6.9
2024,Arkansas,109.2,102.4,71.6,6.8
2024,Northern Iowa,109.2,102.4,67.5,6.8
2024,Michigan,111.3,104.5,68.4,6.8
2024,Oklahoma St.,107.8,101.7,68.1,6.1
2024,Western Carolina,107.9,101.9,67.8,6.0
2024,Southern Illinois,108.9,102.9,65.2,6.0
2024,Cornell,111.8,105.7,72.4,6.1
2024,Hofstra,108.0,102.2,66.6,5.8
2024,Belmont,108.8,103.0,72.1,5.8
2024,Vermont,105.4,99.8,64.3,5.6
2024,UAB,112.4,106.9,68.7,5.5
2024,California,108.5,103.4,69.4,5.1
2024,Georgia Tech,108.6,103.5,68.4,5.1
2024,Davidson,105.2,100.4,66.4,4.8
2024,Santa Clara,108.4,103.6,70.0,4.8
2024,UNC Wilmington,112.7,107.7,66.1,5.0
2024,Seattle,104.1,99.6,67.7,4.5
2024,Arizona St.,102.9,98.7,70.0,4.2
2024,High Point,114.6,110.0,69.5,4.6
2024,UT Arlington,107.9,103.7,71.7,4.2
2024,Troy,106.4,102.3,70.6,4.1
2024,UC San Diego,110.5,106.3,66.3,4.2
2024,Drexel,106.8,102.8,65.4,4.0
2024,Akron,105.7,101.9,66.7,3.8
2024,Missouri,108.2,104.4,67.6,3.8
2024,Notre Dame,101.4,97.9,65.2,3.5
2024,West Virginia,107.6,104.3,69.3,3.3
2024,Morehead St.,106.7,103.4,65.3,3.3
2024,Western Kentucky,104.5,101.3,76.0,3.2
2024,Oakland,108.2,105.1,67.7,3.1
2024,Wichita St.,104.7,101.6,69.1,3.1
2024,Liberty,109.0,105.8,65.4,3.2
2024,Youngstown St.,107.2,104.3,69.8,2.9
2024,UNC Greensboro,108.7,106.1,65.7,2.6
2024,South Dakota St.,107.7,105.2,68.9,2.5
2024,Tulane,109.8,107.3,73.7,2.5
2024,Sam Houston St.,104.9,102.5,68.7,2.4
2024,Arkansas St.,112.2,109.7,69.0,2.5
2024,St. Thomas,106.9,104.6,63.9,2.3
2024,Missouri St.,103.8,101.6,68.8,2.2
2024,Louisiana,105.5,103.3,69.5,2.2
2024,Wright St.,116.1,113.9,72.4,2.2
2024,Toledo,111.6,109.7,70.2,1.9
2024,Towson,102.5,100.7,63.1,1.8
2024,Murray St.,107.4,105.8,65.4,1.6
2024,Oregon St.,105.9,104.2,66.1,1.7
2024,Tarleton St.,107.0,105.5,67.3,1.5
2024,Ohio,108.0,106.6,68.2,1.4
2024,Delaware,105.1,103.8,68.3,1.3
2024,Furman,108.6,107.4,69.8,1.2
2024,Montana,110.6,109.6,67.1,1.0
2024,Weber St.,107.6,106.7,66.4,0.9
2024,Chattanooga,109.1,108.3,67.7,0.8
2024,Winthrop,106.4,105.8,67.8,0.6
2024,Wyoming,107.4,106.9,68.1,0.5
