year,team,ORtg,DRtg,Pace,netRtg
2012,Kentucky,119.7,88.5,66.1,31.2
2012,Ohio St.,115.5,85.5,68.1,30.0
2012,Kansas,114.7,88.1,67.9,26.6
2012,Michigan St.,112.7,86.7,66.1,26.0
2012,North Carolina,115.8,89.6,72.7,26.2
2012,Missouri,124.0,96.6,66.7,27.4
2012,Syracuse,115.4,90.1,66.2,25.3
2012,Wisconsin,110.6,87.4,58.8,23.2
2012,Wichita St.,115.9,92.6,66.8,23.3
2012,Saint Louis,111.0,89.6,62.4,21.4
2012,Indiana,119.1,96.5,67.8,22.6
2012,Georgetown,110.3,89.5,63.4,20.8
2012,Duke,117.1,95.3,68.3,21.8
2012,Florida,120.5,98.1,65.6,22.4
2012,Vanderbilt,113.9,92.7,65.9,21.2
2012,Memphis,112.6,92.1,68.4,20.5
2012,Baylor,114.4,93.6,66.7,20.8
2012,New Mexico,109.1,89.9,66.8,19.2
2012,Florida St.,106.5,88.1,67.7,18.4
2012,Louisville,103.7,85.9,67.5,17.8
2012,Marquette,110.9,91.9,71.1,19.0
2012,Michigan,113.4,95.0,61.8,18.4
2012,California,109.8,92.0,66.8,17.8
2012,Alabama,105.0,88.1,63.1,16.9
2012,Virginia,104.3,87.6,60.4,16.7
2012,UNLV,109.3,92.3,69.9,17.0
2012,Kansas St.,107.9,91.5,67.5,16.4
2012,Cincinnati,108.7,92.2,64.2,16.5
2012,Temple,113.0,96.2,67.3,16.8
2012,Purdue,115.0,98.0,65.5,17.0
2012,Gonzaga,110.6,94.3,66.2,16.3
2012,Connecticut,110.3,94.3,64.2,16.0
2012,Belmont,115.2,98.6,68.1,16.6
2012,Iowa St.,111.2,95.3,67.2,15.9
2012,Creighton,118.4,101.8,67.4,16.6
2012,West Virginia,110.9,95.5,65.5,15.4
2012,Harvard,106.9,92.6,61.2,14.3
2012,La Salle,107.3,93.0,68.6,14.3
2012,Texas,110.9,96.2,65.7,14.7
2012,N.C. State,111.4,96.9,68.1,14.5
2012,Saint Mary's,112.0,97.7,64.5,14.3
2012,Stanford,105.1,91.8,67.0,13.3
2012,VCU,106.1,93.0,66.1,13.1
2012,Miami FL,109.9,96.3,64.4,13.6
2012,Murray St.,108.1,94.8,66.1,13.3
2012,BYU,105.4,92.5,72.7,12.9
2012,St. Bonaventure,108.8,96.1,64.5,12.7
2012,Long Beach St.,108.2,95.7,67.2,12.5
2012,Middle Tennessee,105.8,93.7,65.8,12.1
2012,Seton Hall,105.1,93.1,65.9,12.0
2012,Mississippi St.,111.0,98.6,65.6,12.4
2012,Wyoming,102.5,91.1,60.4,11.4
2012,Saint Joseph's,109.3,97.2,66.0,12.1
