year,team,ORtg,DRtg,Pace,netRtg
2021,Gonzaga,125.3,89.6,75.4,35.7
2021,Houston,119.0,89.4,65.9,29.6
2021,Baylor,123.3,93.5,69.6,29.8
2021,Michigan,117.7,90.8,67.8,26.9
2021,Illinois,117.4,90.8,71.6,26.6
2021,Iowa,123.7,96.5,70.9,27.2
2021,Colorado,115.4,91.7,67.2,23.7
2021,USC,113.3,90.2,68.1,23.1
2021,Florida St.,117.2,93.7,71.2,23.5
2021,Ohio St.,121.4,97.1,67.8,24.3
2021,Alabama,110.7,88.6,74.8,22.1
2021,San Diego St.,111.3,89.3,66.9,22.0
2021,Loyola Chicago,109.0,88.2,64.8,20.8
2021,Connecticut,113.9,92.3,66.6,21.6
2021,Wisconsin,111.5,90.3,65.9,21.2
2021,Tennessee,108.5,88.2,67.8,20.3
2021,Texas,113.5,92.8,70.0,20.7
2021,Virginia,114.9,93.9,60.9,21.0
2021,Texas Tech,111.5,91.4,66.6,20.1
2021,Villanova,118.5,97.2,65.9,21.3
2021,Creighton,114.2,94.1,70.0,20.1
2021,West Virginia,115.0,94.9,70.5,20.1
2021,Arizona,114.9,95.0,69.0,19.9
2021,Arkansas,110.0,91.3,74.0,18.7
2021,Kansas,108.7,90.2,69.2,18.5
2021,BYU,111.5,92.6,69.1,18.9
2021,Purdue,111.5,93.0,67.5,18.5
2021,St. Bonaventure,110.1,91.9,65.5,18.2
2021,LSU,118.9,99.8,71.4,19.1
2021,UCLA,114.2,96.2,65.5,18.0
2021,Oregon,114.1,96.1,68.1,18.0
2021,Florida,110.4,93.4,69.5,17.0
2021,Oklahoma St.,109.1,92.3,72.7,16.8
2021,Memphis,101.7,86.1,73.2,15.6
2021,Georgia Tech,112.7,95.6,68.6,17.1
2021,North Carolina,107.9,91.9,72.8,16.0
2021,Missouri,110.7,94.3,69.5,16.4
2021,Duke,113.8,97.0,69.4,16.8
2021,Oklahoma,111.1,94.7,68.5,16.4
2021,Utah St.,104.4,89.0,69.9,15.4
2021,Maryland,110.1,94.2,66.3,15.9
2021,Saint Louis,110.4,94.8,68.8,15.6
2021,VCU,104.2,89.6,70.9,14.6
2021,Clemson,105.2,90.5,65.4,14.7
