year,team,ORtg,DRtg,Pace,netRtg
2014,Louisville,119.2,88.2,69.0,31.0
2014,Arizona,115.0,86.7,64.6,28.3
2014,Florida,115.9,88.8,63.4,27.1
2014,Duke,126.1,97.8,66.8,28.3
2014,Virginia,113.2,88.4,61.3,24.8
2014,Wisconsin,121.9,96.6,64.3,25.3
2014,Creighton,126.5,100.4,65.6,26.1
2014,Kansas,120.2,95.5,68.3,24.7
2014,Villanova,116.1,92.8,67.4,23.3
2014,Michigan St.,118.4,94.8,66.3,23.6
2014,Tennessee,116.2,93.6,63.4,22.6
2014,Pittsburgh,117.1,94.4,64.1,22.7
2014,Ohio St.,109.3,88.4,65.3,20.9
2014,Wichita St.,115.5,93.5,65.2,22.0
2014,Iowa,120.8,97.9,71.2,22.9
2014,Syracuse,115.3,93.5,61.5,21.8
2014,Michigan,123.0,99.7,63.0,23.3
2014,Oklahoma St.,116.4,94.5,69.0,21.9
2014,UCLA,118.5,96.9,70.4,21.6
2014,Gonzaga,114.6,93.9,66.1,20.7
2014,Kentucky,115.9,95.7,66.5,20.2
2014,Iowa St.,116.6,96.8,71.9,19.8
2014,Connecticut,111.6,92.8,65.1,18.8
2014,VCU,107.8,89.8,71.0,18.0
2014,San Diego St.,108.4,90.6,64.4,17.8
2014,Cincinnati,108.6,91.1,63.5,17.5
2014,North Carolina,111.7,93.9,70.9,17.8
2014,Oklahoma,118.4,99.8,71.8,18.6
2014,SMU,109.8,92.7,66.6,17.1
2014,New Mexico,113.8,97.1,66.3,16.7
2014,Harvard,111.4,95.1,65.5,16.3
2014,Saint Louis,105.4,90.0,67.4,15.4
2014,Minnesota,114.8,98.2,65.1,16.6
2014,Baylor,118.1,101.1,62.8,17.0
2014,Memphis,112.4,96.3,69.7,16.1
2014,Oregon,117.3,100.6,69.4,16.7
2014,Texas,110.8,95.1,68.9,15.7
2014,Kansas St.,108.1,93.0,64.9,15.1
2014,Arkansas,111.5,95.9,72.8,15.6
2014,Florida St.,111.3,96.2,67.3,15.1
2014,Saint Joseph's,112.9,97.8,65.9,15.1
2014,Louisiana Tech,108.9,94.4,71.0,14.5
2014,Stanford,112.5,97.8,67.3,14.7
2014,Georgetown,113.0,98.2,64.9,14.8
2014,Arizona St.,109.9,95.5,69.3,14.4
2014,Utah,110.9,96.8,65.1,14.1
2014,George Washington,110.1,96.2,67.4,13.9
2014,St. John's,108.1,94.6,67.9,13.5
2014,Indiana,107.9,94.5,69.5,13.4
2014,Massachusetts,109.7,96.1,71.7,13.6
2014,BYU,114.2,100.4,73.1,13.8
