year,team,ORtg,DRtg,Pace,netRtg
2016,Kansas,120.5,91.3,70.1,29.2
2016,Villanova,118.9,90.4,67.3,28.5
2016,Virginia,119.5,91.9,61.6,27.6
2016,Michigan St.,121.4,94.8,67.6,26.6
2016,West Virginia,115.4,90.2,70.9,25.2
2016,Kentucky,122.3,95.8,68.0,26.5
2016,North Carolina,120.1,94.3,72.3,25.8
2016,Oklahoma,117.6,92.8,71.1,24.8
2016,Purdue,116.6,92.8,68.8,23.8
2016,Louisville,112.2,89.5,67.2,22.7
2016,Miami FL,118.8,95.4,67.2,23.4
2016,Xavier,117.1,94.5,72.6,22.6
2016,Vanderbilt,114.6,92.8,68.6,21.8
2016,Wichita St.,111.5,90.3,66.8,21.2
2016,Duke,121.5,98.5,68.8,23.0
2016,Texas A&M,113.7,92.2,68.1,21.5
2016,Indiana,120.1,98.0,69.3,22.1
2016,Iowa,116.0,94.8,70.0,21.2
2016,Iowa St.,120.4,98.9,72.3,21.5
2016,Arizona,116.4,95.7,69.1,20.7
2016,Oregon,117.7,96.9,69.1,20.8
2016,Gonzaga,117.0,96.3,68.2,20.7
2016,California,112.5,93.0,68.8,19.5
2016,SMU,118.0,97.6,66.6,20.4
2016,Saint Mary's,119.6,99.3,62.4,20.3
2016,Seton Hall,111.1,92.5,70.3,18.6
2016,Maryland,115.1,96.4,68.0,18.7
2016,Butler,117.9,99.4,69.2,18.5
2016,VCU,111.4,93.8,70.3,17.6
2016,Baylor,117.8,99.3,67.3,18.5
2016,Utah,115.2,97.3,67.0,17.9
2016,Connecticut,110.4,93.3,66.9,17.1
2016,Cincinnati,109.5,92.7,66.2,16.8
2016,Pittsburgh,115.3,98.2,66.6,17.1
2016,Syracuse,110.8,94.6,65.7,16.2
2016,Texas,111.5,95.2,66.3,16.3
2016,Florida,108.2,92.7,69.8,15.5
2016,Saint Joseph's,113.0,96.9,71.2,16.1
2016,Valparaiso,106.4,91.3,67.3,15.1
2016,USC,113.8,98.0,72.3,15.8
2016,Dayton,106.8,92.6,68.5,14.2
2016,Kansas St.,107.9,93.6,67.7,14.3
2016,Wisconsin,110.2,95.6,64.2,14.6
2016,Creighton,112.4,97.6,71.3,14.8
2016,Michigan,114.7,99.7,66.5,15.0
2016,Providence,108.9,95.1,69.5,13.8
2016,Notre Dame,118.4,103.5,65.9,14.9
2016,South Carolina,107.8,94.4,71.4,13.4
2016,Georgia Tech,112.9,98.9,68.0,14.0
