year,team,ORtg,DRtg,Pace,netRtg
2011,Ohio St.,123.2,90.0,65.6,33.2
2011,Kansas,120.0,89.4,69.7,30.6
2011,Duke,118.3,88.9,70.2,29.4
2011,Texas,113.7,87.7,67.0,26.0
2011,Pittsburgh,119.0,92.5,63.8,26.5
2011,Kentucky,118.4,92.2,66.9,26.2
2011,Wisconsin,121.6,95.5,57.9,26.1
2011,Purdue,113.7,89.8,67.1,23.9
2011,Notre Dame,121.8,96.2,64.6,25.6
2011,San Diego St.,112.3,89.9,63.9,22.4
2011,Louisville,111.4,89.7,68.0,21.7
2011,Illinois,113.4,91.5,66.9,21.9
2011,BYU,116.7,94.2,71.4,22.5
2011,North Carolina,110.2,89.1,71.7,21.1
2011,Syracuse,113.5,91.9,66.5,21.6
2011,Washington,116.9,94.7,72.2,22.2
2011,West Virginia,113.3,93.3,63.5,20.0
2011,Connecticut,113.8,93.9,66.2,19.9
2011,UNLV,109.6,90.7,68.1,18.9
2011,Arizona,115.7,95.7,66.5,20.0
2011,Utah St.,109.3,90.7,63.3,18.6
2011,Florida,113.3,94.1,63.9,19.2
2011,Cincinnati,108.8,90.4,64.5,18.4
2011,Kansas St.,108.9,90.9,68.4,18.0
2011,Villanova,114.2,95.6,66.6,18.6
2011,Georgetown,113.7,95.3,65.2,18.4
2011,Clemson,108.2,90.9,64.6,17.3
2011,Belmont,110.8,93.2,69.4,17.6
2011,Vanderbilt,114.4,96.3,68.1,18.1
2011,Marquette,115.3,97.2,67.9,18.1
2011,St. John's,110.1,93.0,67.0,17.1
2011,Virginia Tech,108.6,91.7,65.2,16.9
2011,Gonzaga,109.2,92.9,68.2,16.3
2011,Saint Mary's,117.4,100.0,66.1,17.4
2011,Missouri,112.5,95.8,72.1,16.7
2011,George Mason,111.3,94.9,66.0,16.4
2011,Temple,107.9,92.2,65.8,15.7
2011,Michigan,109.9,94.2,62.8,15.7
2011,Maryland,107.5,92.1,71.6,15.4
2011,Tennessee,109.1,93.8,67.2,15.3
2011,Florida St.,101.2,87.1,69.6,14.1
2011,Washington St.,108.5,93.7,68.4,14.8
2011,Michigan St.,108.0,93.4,66.4,14.6
2011,Butler,111.6,96.5,64.9,15.1
2011,Xavier,111.2,96.3,66.1,14.9
2011,USC,107.0,92.8,63.4,14.2
2011,Georgia,108.3,94.0,64.9,14.3
2011,Richmond,110.2,95.7,63.9,14.5
2011,Penn St.,111.2,96.7,60.9,14.5
2011,UCLA,106.9,93.3,66.5,13.6
2011,Northwestern,115.6,100.9,64.8,14.7
2011,Duquesne,106.7,93.2,71.6,13.5
2011,Alabama,103.0,90.2,64.9,12.8
2011,Wichita St.,110.9,97.2,65.8,13.7
2011,Miami FL,111.8,98.1,65.5,13.7
2011,Texas A&M,107.9,94.7,62.9,13.2
2011,Minnesota,109.6,96.3,66.5,13.3
2011,New Mexico,109.5,96.5,66.1,13.0
