year,team,ORtg,DRtg,Pace,netRtg
2026,Michigan,127.2,90.4,72.2,36.8
2026,Duke,126.5,91.0,66.8,35.5
2026,Arizona,126.3,91.3,71.0,35.0
2026,Florida,124.9,92.1,71.4,32.8
2026,Houston,124.6,92.1,64.3,32.5
2026,Illinois,131.1,97.8,66.7,33.3
2026,Iowa St.,123.7,92.9,67.9,30.8
2026,Purdue,132.1,99.3,65.5,32.8
2026,Connecticut,122.7,93.7,65.6,29.0
2026,Vanderbilt,127.0,98.4,69.9,28.6
2026,Gonzaga,120.4,93.7,69.9,26.7
2026,Michigan St.,121.5,94.8,67.0,26.7
2026,Tennessee,121.2,95.1,66.2,26.1
2026,St. John's,120.1,94.4,70.5,25.7
2026,Texas Tech,125.4,98.7,67.3,26.7
2026,Virginia,122.1,96.1,66.6,26.0
2026,Alabama,129.6,102.3,74.1,27.3
2026,Louisville,123.6,98.0,70.7,25.6
2026,Nebraska,117.6,93.4,67.8,24.2
2026,Kansas,117.9,93.9,68.6,24.0
2026,Arkansas,127.1,101.3,72.0,25.8
2026,Wisconsin,125.6,101.4,69.7,24.2
2026,Iowa,121.8,99.1,64.0,22.7
2026,Ohio St.,124.0,101.5,67.2,22.5
2026,UCLA,123.2,101.4,65.7,21.8
2026,Saint Mary's,118.6,97.8,66.3,20.8
2026,North Carolina,120.4,99.4,69.0,21.0
2026,Utah St.,122.6,101.5,68.5,21.1
2026,Indiana,121.8,101.0,67.2,20.8
2026,BYU,124.2,103.1,70.7,21.1
2026,Clemson,115.8,96.6,65.2,19.2
2026,Villanova,119.8,100.1,65.9,19.7
2026,Santa Clara,123.5,103.3,70.3,20.2
2026,Kentucky,119.1,99.6,69.3,19.5
2026,Georgia,123.4,103.5,73.0,19.9
2026,N.C. State,122.8,103.5,70.1,19.3
2026,Miami FL,119.7,101.0,68.9,18.7
2026,Saint Louis,119.8,101.3,72.0,18.5
2026,Cincinnati,110.4,93.4,68.6,17.0
2026,Texas A&M,119.5,101.1,72.0,18.4
2026,Auburn,124.1,105.1,68.3,19.0
2026,Oklahoma,123.9,106.0,67.2,17.9
2026,SMU,122.2,104.6,69.6,17.6
2026,San Diego St.,112.1,96.2,69.6,15.9
2026,Texas,123.4,106.2,68.1,17.2
2026,Missouri,119.3,103.1,67.4,16.2
2026,VCU,118.8,103.0,69.7,15.8
2026,Baylor,122.9,106.7,68.8,16.2
2026,South Florida,116.8,101.6,72.3,15.2
2026,TCU,113.9,99.2,68.5,14.7
2026,Washington,116.1,101.7,68.0,14.4
2026,New Mexico,115.6,101.3,70.8,14.3
2026,Seton Hall,108.8,95.6,66.1,13.2
2026,Boise St.,116.7,102.7,66.7,14.0
2026,UCF,119.8,105.5,70.1,14.3
2026,Grand Canyon,110.1,97.1,69.0,13.0
2026,Minnesota,114.7,101.3,63.6,13.4
2026,Virginia Tech,116.3,102.9,68.2,13.4
2026,West Virginia,108.9,96.7,63.4,12.2
2026,Northwestern,116.4,103.4,66.1,13.0
2026,Florida St.,117.2,104.3,71.6,12.9
2026,LSU,119.0,106.0,67.6,13.0
2026,Tulsa,121.0,107.8,68.7,13.2
2026,USC,113.2,101.0,71.7,12.2
2026,Stanford,115.7,103.2,68.0,12.5
2026,Butler,117.1,104.7,69.8,12.4
2026,Arizona St.,115.0,103.0,70.2,12.0
2026,Mississippi,113.2,101.4,67.1,11.8
2026,Wake Forest,116.2,104.4,69.3,11.8
2026,Akron,117.9,106.0,71.3,11.9
2026,Oklahoma St.,118.1,106.5,73.1,11.6
2026,Providence,120.7,108.8,72.3,11.9
2026,California,113.1,102.0,68.8,11.1
2026,Nevada,115.0,103.7,67.0,11.3
2026,Northern Iowa,108.3,97.7,63.1,10.6
2026,McNeese St.,113.3,102.4,67.1,10.9
2026,Dayton,110.1,99.6,68.0,10.5
2026,George Washington,117.5,106.5,70.3,11.0
2026,Syracuse,114.2,103.6,68.3,10.6
2026,Creighton,115.3,104.6,68.3,10.7
2026,Georgetown,113.9,103.4,67.2,10.5
2026,Belmont,118.7,107.8,69.9,10.9
2026,Colorado,117.9,107.2,69.6,10.7
2026,Marquette,110.9,101.4,70.2,9.5
2026,Wichita St.,111.5,102.4,67.2,9.1
2026,Stephen F. Austin,112.1,103.2,66.7,8.9
2026,Colorado St.,118.6,109.2,63.9,9.4
2026,Miami OH,116.5,107.3,70.9,9.2
2026,Yale,119.5,110.1,65.6,9.4
2026,Utah Valley,111.9,103.3,69.6,8.6
2026,Oregon,112.0,103.5,66.9,8.5
2026,High Point,116.3,107.6,70.8,8.7
2026,Xavier,115.9,107.7,71.3,8.2
2026,Hofstra,113.1,105.2,65.7,7.9
2026,Notre Dame,114.0,106.2,67.0,7.8
2026,Wyoming,114.4,106.6,67.0,7.8
2026,South Carolina,111.7,104.1,67.3,7.6
2026,Kansas St.,112.9,105.4,73.6,7.5
2026,Mississippi St.,112.2,104.9,70.5,7.3
2026,DePaul,106.6,99.9,67.4,6.7
2026,Illinois St.,109.2,102.6,67.8,6.6
2026,Davidson,110.1,103.6,64.5,6.5
2026,Pittsburgh,112.2,105.6,64.6,6.6
2026,Sam Houston St.,113.5,107.0,71.0,6.5
2026,Cal Baptist,107.0,100.9,66.9,6.1
2026,Seattle,102.5,96.8,68.7,5.7
2026,George Mason,111.2,105.3,64.5,5.9
2026,Saint Joseph's,107.7,102.0,68.9,5.7
2026,Hawaii,106.2,100.7,70.5,5.5
2026,UNLV,114.3,108.5,70.8,5.8
2026,Maryland,111.2,105.7,67.3,5.5
2026,St. Thomas,113.2,107.6,69.3,5.6
2026,UC Irvine,103.6,98.5,69.1,5.1
2026,Pacific,109.6,104.4,65.4,5.2
2026,Utah,114.7,109.2,67.2,5.5
2026,Liberty,117.3,111.8,64.9,5.5
2026,Florida Atlantic,110.3,105.3,70.7,5.0
2026,Illinois Chicago,108.8,104.1,67.2,4.7
2026,North Dakota St.,110.9,106.2,67.3,4.7
2026,Memphis,107.6,103.2,70.9,4.4
2026,UC San Diego,107.2,103.0,68.2,4.2
2026,Duquesne,110.8,106.5,69.8,4.3
2026,San Francisco,112.7,108.5,66.9,4.2
2026,UT Rio Grande Valley,110.0,106.0,67.4,4.0
