year,team,ORtg,DRtg,Pace,netRtg
2018,Virginia,115.2,85.0,60.4,30.2
2018,Villanova,127.7,95.4,69.5,32.3
2018,Duke,123.2,93.9,71.4,29.3
2018,Purdue,123.6,94.4,68.9,29.2
2018,Cincinnati,111.1,86.5,66.5,24.6
2018,Michigan St.,119.4,93.7,68.2,25.7
2018,Kansas,121.7,95.7,69.8,26.0
2018,North Carolina,121.2,96.8,72.5,24.4
2018,West Virginia,119.1,95.3,71.2,23.8
2018,Xavier,121.4,97.3,71.6,24.1
2018,Gonzaga,118.3,95.2,70.3,23.1
2018,Ohio St.,116.1,93.6,67.8,22.5
2018,Texas Tech,112.9,91.1,67.6,21.8
2018,Tennessee,114.3,92.3,67.3,22.0
2018,Michigan,114.3,92.5,65.7,21.8
2018,Florida,116.0,95.2,68.3,20.8
2018,Creighton,117.3,97.0,72.3,20.3
2018,Butler,115.4,95.5,69.4,19.9
2018,Auburn,117.0,97.1,73.7,19.9
2018,Houston,114.6,95.1,69.4,19.5
2018,Kentucky,115.1,95.7,70.0,19.4
2018,Penn St.,112.5,93.7,69.1,18.8
2018,Seton Hall,116.5,97.4,70.7,19.1
2018,Clemson,111.6,93.7,67.0,17.9
2018,TCU,120.4,101.1,70.1,19.3
2018,Wichita St.,120.4,101.5,70.2,18.9
2018,Texas A&M,110.3,93.6,70.0,16.7
2018,Miami FL,112.6,95.5,68.3,17.1
2018,Missouri,113.0,96.3,66.8,16.7
2018,Arizona,117.4,100.1,68.5,17.3
2018,Kansas St.,112.3,95.8,66.5,16.5
2018,Texas,108.6,92.7,66.7,15.9
2018,Maryland,114.0,97.4,67.5,16.6
2018,Louisville,111.7,95.7,70.8,16.0
2018,Oklahoma,115.9,99.3,77.0,16.6
2018,Arkansas,117.0,100.3,71.1,16.7
2018,Florida St.,114.5,98.4,73.0,16.1
2018,Saint Mary's,119.2,102.4,64.9,16.8
2018,Nevada,118.0,101.5,70.9,16.5
2018,Virginia Tech,114.4,98.4,70.3,16.0
2018,USC,114.3,98.5,68.9,15.8
2018,Oklahoma St.,112.4,96.8,69.7,15.6
2018,Baylor,110.2,95.2,67.4,15.0
2018,Marquette,119.5,103.3,70.2,16.2
2018,San Diego St.,110.6,95.7,70.0,14.9
2018,Notre Dame,114.4,99.3,66.5,15.1
2018,Arizona St.,117.2,102.1,72.9,15.1
2018,Nebraska,110.1,96.2,68.9,13.9
2018,Syracuse,106.3,93.0,64.5,13.3
2018,Rhode Island,110.2,96.5,69.9,13.7
2018,Boise St.,109.5,95.9,69.8,13.6
2018,Davidson,116.7,102.5,65.4,14.2
2018,N.C. State,114.8,101.1,72.8,13.7
2018,New Mexico St.,106.9,94.2,69.3,12.7
2018,Middle Tennessee,109.0,96.1,67.7,12.9
2018,Mississippi St.,108.8,96.1,69.0,12.7
2018,Alabama,107.0,94.8,70.0,12.2
2018,Providence,108.7,96.5,68.3,12.2
2018,LSU,114.8,101.9,69.2,12.9
2018,Loyola Chicago,109.0,96.8,66.5,12.2
2018,UCLA,114.7,101.9,71.6,12.8
2018,Georgia,107.4,95.5,65.6,11.9
2018,South Dakota St.,114.0,101.6,71.4,12.4
2018,Utah,110.6,98.8,67.3,11.8
2018,Western Kentucky,112.5,100.5,69.7,12.0
2018,Louisiana,112.3,100.3,71.4,12.0
2018,Old Dominion,107.2,95.9,66.0,11.3
2018,St. John's,106.0,95.3,70.5,10.7
2018,Oregon,110.5,99.4,68.2,11.1
2018,South Dakota,108.4,97.9,71.3,10.5
2018,Buffalo,113.6,102.6,74.0,11.0
2018,Fresno St.,109.5,99.1,67.7,10.4
2018,Georgetown,110.3,100.0,71.4,10.3
2018,Indiana,108.7,98.6,67.7,10.1
2018,Northwestern,108.9,98.9,65.5,10.0
2018,South Carolina,104.5,94.9,69.8,9.6
2018,Wisconsin,108.3,98.4,63.9,9.9
2018,St. Bonaventure,110.4,100.6,70.4,9.8
2018,Murray St.,111.1,101.2,68.0,9.9
2018,Boston College,112.4,102.6,71.0,9.8
2018,SMU,108.7,99.4,65.4,9.3
2018,BYU,106.9,97.8,68.4,9.1
2018,Wake Forest,110.7,101.5,70.7,9.2
2018,Illinois,109.7,100.9,71.2,8.8
2018,Iowa St.,110.3,101.5,70.1,8.8
2018,Stanford,107.3,98.8,71.6,8.5
2018,Northern Kentucky,107.4,98.9,69.6,8.5
2018,Montana,107.6,99.1,69.1,8.5
2018,Belmont,111.9,103.0,68.3,8.9
